case_id,true_planner,true_motive,true_concealer,stable_boy_drugged,dog_silent,delicate_knife_found,alias_bill_found,horse_at_scene,coat_deliberately_placed,horse_hidden_by_neighbor,death_consistent_with_horse_kick,outsider_seen_near_stable,tracks_to_rival_property,dog_familiarity_score,instrument_delicacy_score
1,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,0,1,1,0,1,0.7630649721317603,0.7498986808621785
2,unknown_intruder,opportunistic_intrusion,none,0,0,0,0,1,1,0,0,1,0,0.43063644696349396,0.07636899538947484
3,outsider_gambler,betting_sabotage,outsider_gambler,0,0,0,0,0,0,0,0,1,0,0.17021171978818717,0.5167203143319771
4,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,1,1,1,1,1,0.8794315996334064,0.8465222570655386
5,trainer,betting_sabotage,rival_trainer,1,1,0,1,1,1,1,1,0,1,0.5216066501867214,0.6905239264214109
6,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,1,1,1,0,1,0.7674273472207893,0.6615481225495446
7,unknown_intruder,opportunistic_intrusion,none,1,0,0,0,1,0,0,0,1,0,0.22685591322706083,0.09855540237172256
8,unknown_intruder,opportunistic_intrusion,none,0,0,0,0,1,0,0,1,1,0,0.08647779129123946,0.3273867504181487
9,trainer,betting_sabotage,rival_trainer,1,1,1,1,1,0,1,1,0,1,0.2652131117945456,0.7600382658420911
10,outsider_gambler,betting_sabotage,none,0,0,1,0,0,0,0,0,1,0,0.3601172249234024,0.018011773782152272
11,outsider_gambler,betting_sabotage,none,0,0,0,0,1,0,0,0,0,0,0.5154827998540444,0.16420432736245077
12,unknown_intruder,opportunistic_intrusion,none,1,0,0,0,0,1,0,0,0,0,0.1277964726991393,0.04387677494105998
13,rival_trainer,competitive_sabotage,rival_trainer,1,0,0,0,1,0,1,0,0,1,0.32012101903863194,0.2779625695875582
14,unknown_intruder,opportunistic_intrusion,none,0,0,0,0,1,0,0,0,1,0,0.2521322797361535,0.3961959391608209
