case_id,true_planner,true_motive,true_concealer,stable_boy_drugged,dog_silent,delicate_knife_found,alias_bill_found,horse_at_scene,coat_deliberately_placed,horse_hidden_by_neighbor,death_consistent_with_horse_kick,outsider_seen_near_stable,tracks_to_rival_property,dog_familiarity_score,instrument_delicacy_score,post_outsider_gambler,post_trainer,post_rival_trainer,post_unknown_intruder,pred_planner,pred_confidence,is_correct
1,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,0,1,1,0,1,0.7630649721317603,0.7498986808621785,5.615027371853584e-12,0.999999789933753,2.1006062897663374e-07,2.8053697391645167e-15,trainer,0.999999789933753,1
2,unknown_intruder,opportunistic_intrusion,none,0,0,0,0,1,1,0,0,1,0,0.43063644696349396,0.07636899538947484,0.7057142868318775,1.3283071722710396e-13,0.002305660891622983,0.29198005227636664,outsider_gambler,0.7057142868318775,0
3,outsider_gambler,betting_sabotage,outsider_gambler,0,0,0,0,0,0,0,0,1,0,0.17021171978818717,0.5167203143319771,0.7727395640374403,2.8646235806939862e-12,0.002071608010597794,0.2251888279490973,outsider_gambler,0.7727395640374403,1
4,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,1,1,1,1,1,0.8794315996334064,0.8465222570655386,1.0771922914845574e-14,0.9999999998876019,1.123873490918089e-10,2.766752755396383e-19,trainer,0.9999999998876019,1
5,trainer,betting_sabotage,rival_trainer,1,1,0,1,1,1,1,1,0,1,0.5216066501867214,0.6905239264214109,7.110033838690827e-08,0.9980348241312317,0.00196510467134698,9.708306423067375e-11,trainer,0.9980348241312317,1
6,trainer,concealed_financial_pressure,rival_trainer,1,1,1,1,1,1,1,1,0,1,0.7674273472207893,0.6615481225495446,4.044232656174816e-12,0.9999996787210792,3.212748749778696e-07,1.6775555694810394e-15,trainer,0.9999996787210792,1
7,unknown_intruder,opportunistic_intrusion,none,1,0,0,0,1,0,0,0,1,0,0.22685591322706083,0.09855540237172256,0.7561579061964034,1.0918822935838907e-14,0.0010101396473506381,0.24283195415623496,outsider_gambler,0.7561579061964034,0
8,unknown_intruder,opportunistic_intrusion,none,0,0,0,0,1,0,0,1,1,0,0.08647779129123946,0.3273867504181487,0.8390805333404713,1.293476745198819e-13,0.002750517205501687,0.15816894945389764,outsider_gambler,0.8390805333404713,0
9,trainer,betting_sabotage,rival_trainer,1,1,1,1,1,0,1,1,0,1,0.2652131117945456,0.7600382658420911,4.01946767936821e-07,0.9948689392456124,0.005130658286186268,5.214334095742873e-10,trainer,0.9948689392456124,1
10,outsider_gambler,betting_sabotage,none,0,0,1,0,0,0,0,0,1,0,0.3601172249234024,0.018011773782152272,0.39321867231367597,2.0518000642249412e-18,0.00017991299190039755,0.6066014146944236,unknown_intruder,0.6066014146944236,0
11,outsider_gambler,betting_sabotage,none,0,0,0,0,1,0,0,0,0,0,0.5154827998540444,0.16420432736245077,0.4135694666746841,1.2482247368744868e-10,0.019772888463051967,0.5666576447374415,unknown_intruder,0.5666576447374415,0
12,unknown_intruder,opportunistic_intrusion,none,1,0,0,0,0,1,0,0,0,0,0.1277964726991393,0.04387677494105998,0.2961655982494836,5.117374700349176e-18,0.00425192004433408,0.6995824817061823,unknown_intruder,0.6995824817061823,1
13,rival_trainer,competitive_sabotage,rival_trainer,1,0,0,0,1,0,1,0,0,1,0.32012101903863194,0.2779625695875582,0.003262446578608418,5.8785507754656625e-09,0.996218990592815,0.0005185569500256581,rival_trainer,0.996218990592815,1
14,unknown_intruder,opportunistic_intrusion,none,0,0,0,0,1,0,0,0,1,0,0.2521322797361535,0.3961959391608209,0.8073090477568855,3.442519496964715e-11,0.0029044151649909836,0.18978653704369833,outsider_gambler,0.8073090477568855,0
15,outsider_gambler,betting_sabotage,none,0,0,0,0,0,1,0,1,1,0,0.3034775605341874,0.41819914824654725,0.911036504658465,7.6418164436155e-09,0.01460291334911893,0.07436057435059969,outsider_gambler,0.911036504658465,1
16,rival_trainer,competitive_sabotage,rival_trainer,1,0,0,0,0,0,1,0,0,1,0.11735587973867613,0.4393233699034259,0.005461862651243666,4.098653874166742e-11,0.9933647461548042,0.0011733911529655658,rival_trainer,0.9933647461548042,1
17,trainer,betting_sabotage,rival_trainer,1,1,1,1,1,0,1,1,0,1,0.7725942843087144,0.6619083349608459,3.17650793154781e-11,0.9999989600380536,1.0399301588880642e-06,2.241155443305648e-14,trainer,0.9999989600380536,1
18,trainer,concealed_financial_pressure,none,0,1,1,1,1,0,1,1,1,0,0.8556926279013456,0.8557116542407177,7.157985348164552e-11,0.9999999967065019,3.2219026638308133e-09,1.5548264385928805e-14,trainer,0.9999999967065019,1
19,unknown_intruder,opportunistic_intrusion,none,0,0,0,0,1,0,0,0,0,0,0.0335812169713581,0.024554888460032693,0.06665597454634625,2.3445501106968567e-25,0.0001221113200024466,0.9332219141336514,unknown_intruder,0.9332219141336514,1
20,trainer,betting_sabotage,rival_trainer,1,1,1,1,1,1,1,1,0,1,0.841067922450096,0.9817394831247082,2.965082660852679e-19,0.9999999999999267,7.334871407451116e-14,3.938502429856041e-24,trainer,0.9999999999999267,1
21,trainer,betting_sabotage,rival_trainer,1,1,1,1,1,1,1,0,1,1,0.8860104203789227,0.9450582243839605,1.8377602133294558e-15,0.9999999999870279,1.297018977637903e-11,3.370415750829264e-20,trainer,0.9999999999870279,1
22,trainer,betting_sabotage,rival_trainer,1,1,1,1,1,1,1,1,1,1,0.6210245291039255,0.9434465790595077,1.3999384828315654e-13,0.999999999077972,9.218879454029573e-10,2.9671203866485405e-18,trainer,0.999999999077972,1
23,rival_trainer,competitive_sabotage,rival_trainer,0,0,0,0,1,0,1,0,1,1,0.3896767319412402,0.2855120939536467,0.05474385762263055,2.1053829211107764e-09,0.9401317679565654,0.005124372315421181,rival_trainer,0.9401317679565654,1
